Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Water Feed Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
1037620.8,1.637408,34.335441,-6.860544,25.218234,60.347134,68.322843,8.993492,22.016492,84.905071,35,69.912889,1.6,23.204595,25,48.014479,1.67093
1037643.202,1.601453,35.092817,-6.110585,25.430338,60.216355,68.840055,8.967963,22.005492,84.914499,35,68.394208,1.6,13.74296,25,47.952169,1.387975
1037645.21,1.609182,34.225168,-7.441455,25.488744,60.770519,68.679546,8.960339,22.050056,84.910073,35,69.185291,1.6,23.659261,25,47.242996,1.722544
1037649.349,1.585828,35.344619,-6.448682,24.400556,60.922736,68.588122,8.968692,22.003801,84.911403,35,68.911771,1.6,29.45252,25,47.958887,2.198743
1037661.443,1.603386,35.066551,-6.402578,23.632061,60.328605,68.177715,8.930232,22.069188,84.910957,35,69.475643,1.6,3.86171,25,48.269256,1.118232
1037667.653,1.598471,35.743922,-6.129027,24.68951,60.664967,68.606866,8.929937,22.11507,84.920701,35,67.915151,1.6,41.080315,25,47.250488,1.460788
1037677.685,1.552057,35.795836,-7.340026,26.349458,60.303829,68.001459,8.862785,21.989682,84.914481,35,68.958027,1.6,0.837236,25,46.871179,2.443909
1037689.92,1.623925,35.999255,-7.960894,25.058387,60.90249,68.749271,9.006466,22.09144,84.913067,35,67.93189,1.6,5.878299,25,47.893165,0.904096
1037726.633,1.577721,35.521418,-6.648466,25.095275,60.314244,68.551579,8.898321,21.951669,84.912798,35,69.187409,1.6,8.078994,25,47.621286,1.664785
1037738.762,1.607964,34.997818,-6.722232,25.814586,61.070926,68.498403,8.97479,22.124315,84.923221,35,69.572969,1.6,17.296021,25,47.314079,1.870934
1037743.937,1.607586,35.59592,-6.460976,26.198833,60.347926,68.831096,8.933562,22.014788,84.923779,35,68.114225,1.6,23.630844,25,47.049797,1.765555
1037753.009,1.596749,35.487897,-6.765263,23.979421,60.442001,68.469148,8.865152,22.084934,84.917447,35,68.811386,1.6,0.155658,25,47.759828,2.553588
1037767.234,1.583308,35.512942,-5.658766,24.019382,60.593666,68.564871,8.882625,22.037782,84.920655,35,68.821361,1.6,26.869347,25,47.86987,2.475553
1037775.479,1.56722,34.148091,-7.340026,24.94465,60.48624,68.453586,8.830424,22.125477,84.916387,35,69.292674,1.6,0.083969,25,47.041852,1.53913
1037785.541,1.61334,35.273943,-6.255045,23.164817,60.839813,68.594364,8.824746,22.050733,84.916034,35,68.358245,1.6,39.709126,25,47.519916,1.323151
1037785.931,1.582048,35.265644,-8.544879,25.974433,60.578732,68.656692,8.772016,22.096457,84.915039,35,68.329421,1.6,37.633767,25,47.1364,1.669087
1037791.61,1.537902,34.305923,-6.92509,24.723323,60.298953,68.607101,8.752302,21.996919,84.919409,35,69.645162,1.6,0,25,47.228235,1.659255
1037793.584,1.539918,34.987164,-6.765263,24.498923,60.61679,68.68312,8.822724,22.078907,84.91581,35,69.309274,1.6,0,25,47.824632,3.04054
1037812.09,1.590112,35.794909,-7.103359,26.198833,60.335796,68.528573,8.759836,22.122569,84.913411,35,68.122526,1.6,1.693349,25,47.514393,1.364012
1037826.362,1.577511,35.188376,-7.884054,26.014394,60.429661,69.005336,8.762296,22.146671,84.918563,35,68.270488,1.6,48.414912,25,47.173218,0.950179
1037826.729,1.575663,35.188626,-8.013146,24.707954,60.18764,68.856013,8.759605,22.1056,84.919176,35,68.245827,1.6,44.334688,25,47.992141,2.046359
1037831.812,1.555585,34.422892,-5.975347,25.72544,60.326607,68.408053,8.752136,21.945533,84.918219,35,69.663554,1.6,2.402424,25,47.360767,1.812561
1037846.705,1.629512,35.291454,-7.367689,23.441475,59.994367,68.412631,8.755937,22.100631,84.917995,35,68.804817,1.6,8.959585,25,48.28389,1.997203
1037851.253,1.618171,35.29088,-7.632019,26.318718,60.837882,68.823696,8.782604,22.209569,84.922124,35,68.087895,1.6,38.21362,25,46.900105,2.301049
1037857.829,1.570119,35.999593,-6.233529,24.455887,60.765939,68.642367,8.805152,22.163321,84.923323,35,68.061733,1.6,43.540494,25,48.005147,1.785832
1037861.129,1.556888,35.343471,-7.561326,23.340033,60.803206,68.690646,8.799925,22.187581,84.920748,35,67.899392,1.6,4.824267,25,47.383849,2.071859
1037865.124,1.523537,34.971022,-9.008993,23.779612,60.423127,68.639223,8.77998,22.230128,84.918646,35,68.881758,1.6,0.1003,25,47.762999,0.941884
1037869.33,1.521773,35.389455,-7.097212,24.956946,59.957595,68.486388,8.789689,22.029217,84.924737,35,67.898576,1.6,0.346656,25,47.25579,1.129292
1037871.257,1.535676,34.476749,-7.358468,25.608629,59.978714,68.454148,8.775499,22.211101,84.919539,35,68.746881,1.6,0,25,47.237406,2.009492
1037873.237,1.575831,34.157435,-8.252887,23.727355,60.218171,67.857601,8.76355,22.147992,84.91741,35,69.539281,1.6,1.408015,25,48.161266,2.536691
1037876.183,1.574949,35.066625,-7.235524,25.156754,60.473184,68.207967,8.704022,22.141913,84.916238,35,69.177261,1.6,0,25,47.442885,3.341007
1037883.441,1.62716,34.168604,-5.929243,24.13312,60.340189,68.59047,8.74779,22.125263,84.917744,35,68.769951,1.6,26.444411,25,47.898134,2.139448
1037886.055,1.62779,34.111657,-7.487559,24.053196,60.392115,68.064234,8.781619,22.20349,84.919632,35,69.685959,1.6,40.994968,25,47.090349,1.878307
1037887.903,1.568061,34.446156,-6.725306,25.405747,60.340908,68.653436,8.66802,22.168712,84.917149,35,69.829323,1.6,36.030334,25,48.322231,2.130232
1037899.097,1.561508,34.472834,-6.842103,26.527749,60.552832,68.358546,8.684299,22.219241,84.922487,35,69.130348,1.6,0,25,46.736285,2.404891
1037899.454,1.584904,35.004219,-6.620803,24.664918,60.107646,68.300513,8.701553,22.161946,84.922542,35,68.794867,1.6,1.790268,25,47.640645,3.041462
1037912.412,1.605822,35.541989,-8.720074,23.914867,60.508739,68.448146,8.719851,22.096614,84.923835,35,68.688038,1.6,32.826767,25,48.120681,1.135129
1037918.443,1.604226,34.21244,-8.766178,25.16905,60.324121,68.659212,8.708047,22.096455,84.921148,35,69.215653,1.6,16.475492,25,47.696881,0.455547
1037920.815,1.578771,34.608212,-8.28977,24.428222,59.638463,68.127452,8.757935,22.096825,84.914629,35,69.625881,1.6,1.670067,25,48.101494,1.983378
1037924.213,1.557518,35.64598,-5.993788,26.11891,59.987491,68.494558,8.770783,22.095398,84.916656,35,68.699063,1.6,1.452367,25,47.758379,0.510233
1037928.551,1.592339,35.286774,-6.230456,25.482596,59.989008,68.753184,8.779518,22.082236,84.92363,35,68.015525,1.6,1.826468,25,47.610967,2.294905
