Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Water Feed Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
611147.7548,1.594229,44.037385,-7.99163,23.217074,62.331196,69.336127,8.717547,23.513158,86.285621,45,79.876777,1.6,9.742443,25,48.116905,3.906608
611153.605,1.58041,45.475089,-6.820588,24.379038,61.813286,69.122262,8.798954,23.531265,86.288262,45,79.331311,1.6,9.672968,25,47.435419,2.616569
611155.271,1.58839,45.55118,-8.231371,26.275682,62.753397,68.505448,8.751529,23.45205,86.282171,45,78.988683,1.6,9.958592,25,46.610915,3.149605
611155.6501,1.583224,45.552784,-6.328811,24.726397,62.937458,68.747919,8.665297,23.45205,86.288522,45,78.917424,1.6,9.972751,25,47.741973,2.133611
611157.458,1.613088,45.526886,-6.067555,24.391334,62.805443,69.330718,8.789556,23.588543,86.284096,45,78.599645,1.6,10.231609,25,47.506663,2.647292
611163.346,1.614895,44.457245,-8.36661,26.045134,62.624603,69.382294,8.788902,23.524983,86.285528,45,79.765146,1.6,10.394176,25,46.741298,2.248206
611163.7241,1.592003,44.446268,-6.528595,24.664918,62.472176,69.316428,8.721312,23.459333,86.280962,45,79.845362,1.6,8.863056,25,47.42592,3.122877
611169.4601,1.56008,45.146947,-8.372757,24.391334,62.541287,69.005459,8.721685,23.471768,86.290902,45,79.406933,1.6,0.472872,25,47.484582,2.588919
611170.0186,1.573395,45.184632,-8.286696,25.949841,62.759523,69.267966,8.77132,23.525484,86.293246,45,79.357203,1.6,0.58582,25,46.353993,2.81135
611171.789,1.601579,45.170623,-6.245824,25.135237,62.91337,69.004348,8.796309,23.483724,86.281883,45,79.242635,1.6,1.233872,25,46.552662,3.028866
611181.4009,1.555543,44.339482,-7.429161,24.652622,63.089529,69.00073,8.831098,23.519071,86.286235,45,80.019701,1.6,19.529878,25,46.985728,3.493698
611186.16,1.616575,45.801657,-7.834877,23.782686,62.242516,69.110012,8.657393,23.435659,86.286374,45,78.513811,1.6,12.564408,25,47.687777,3.41812
611188.389,1.600781,45.294699,-9.820424,23.791908,61.865295,69.382543,8.745181,23.509701,86.285481,45,78.513519,1.6,12.915344,25,47.545211,2.850675
611192.02,1.593977,44.54371,-5.923095,23.358477,62.591542,69.117892,8.665235,23.498484,86.287369,45,79.77296,1.6,1.338743,25,47.991557,1.860181
611198.5971,1.615105,45.123491,-6.356473,23.410735,62.741146,69.144325,8.79105,23.359263,86.283538,45,78.262071,1.6,4.727759,25,47.449574,2.585232
611202.3351,1.596707,44.39172,-7.933232,25.627073,62.607382,68.660803,8.639406,23.402875,86.287946,45,79.786255,1.6,21.235425,25,46.757121,3.156364
611208.284,1.605234,45.03529,-7.03574,24.406704,62.088167,69.239957,8.61815,23.296429,86.28988,45,78.910556,1.6,41.992734,25,47.57093,2.509041
611211.347,1.572009,44.391028,-7.822582,23.764242,62.526962,69.020789,8.712973,23.373916,86.288364,45,79.663711,1.6,29.820599,25,47.865639,1.493046
611216.6761,1.528535,45.404708,-6.178205,23.696615,62.324218,68.813039,8.790273,23.419984,86.287601,45,79.644931,1.6,0.611995,25,47.816641,2.955132
611232.8431,1.618549,45.301395,-6.322664,26.204981,62.268935,69.014628,8.722217,23.384222,86.294603,45,79.345157,1.6,36.155639,25,46.607806,3.792628
611237.1041,1.564112,45.283325,-7.997778,24.096232,62.639564,68.958751,8.724862,23.391984,86.296333,45,78.880891,1.6,4.053321,25,47.570345,2.189833
