Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Water Feed Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
1210519.152,1.65463,43.958484,-6.513227,40.15162,66.832279,74.951988,9.084538,20.952359,85.958822,45,79.057233,1.6,36.752651,40,69.683766,1.432216
1210531.294,1.512154,45.071195,-8.403493,41.095331,68.254473,74.999815,9.140543,20.897164,85.959761,45,79.131435,1.6,0.464692,40,69.356964,4.168979
1210551.762,1.614138,45.726758,-7.386131,40.680344,67.986013,75.140644,9.195825,21.009761,85.954703,45,78.195533,1.6,17.840643,40,69.647366,1.534215
1210552.14,1.600529,45.720607,-7.9486,40.637308,67.890275,75.320146,9.186033,20.955498,85.952704,45,78.10464,1.6,18.988246,40,69.62335,3.494005
1210558.012,1.616113,44.236992,-6.116732,38.70685,68.057937,74.897777,8.99271,20.873829,85.956879,45,79.594065,1.6,44.998252,40,70.014552,1.301645
1210578.049,1.590448,44.210432,-6.43024,38.37486,67.376729,75.010043,9.064943,20.928642,85.956776,45,78.819703,1.6,0.523894,40,70.008222,3.73149
1210588.376,1.568691,45.729657,-6.141321,41.126071,67.207694,74.988419,9.081142,20.878632,85.956916,45,78.404438,1.6,22.499959,40,69.322101,2.381235
1210602.446,1.585912,44.63762,-8.431156,41.015408,67.679921,74.848799,9.062559,20.901221,85.954675,45,78.645288,1.6,18.588158,40,69.418102,2.78923
1210614.786,1.6041,44.160151,-8.375831,40.551237,68.085911,75.228346,9.091394,20.893996,85.953206,45,79.129048,1.6,2.049516,40,69.587065,3.764978
1210624.28,1.616743,44.214538,-6.912796,38.208866,67.453298,75.04333,9.035846,20.922511,85.95606,45,79.403112,1.6,45.383912,40,69.9898,3.282634
1210639.149,1.534878,44.89001,-7.195567,38.811365,67.827116,75.397817,9.112762,20.943993,85.952527,45,79.336721,1.6,0.082848,40,69.174139,1.300416
1210644.258,1.601579,45.618604,-7.619724,38.341047,67.641259,74.974952,8.974179,20.981767,85.952843,45,78.065398,1.6,2.022373,40,70.497666,2.217176
1210653.475,1.580788,45.800494,-8.81843,40.69264,66.341833,74.952468,9.101446,20.992508,85.957502,45,78.179151,1.6,24.792038,40,69.592058,1.602419
1210663.711,1.571505,45.876688,-6.749895,40.621938,67.532785,75.61913,9.118621,20.88232,85.957725,45,78.114555,1.6,1.438613,40,69.28447,2.717339
1210677.902,1.608594,44.113696,-8.701633,38.642296,67.944742,75.057217,9.104979,20.883609,85.952936,45,79.08608,1.6,40.186522,40,70.541942,3.686635
1210684.276,1.566002,45.70292,-7.662755,40.302245,67.829076,75.514808,9.07445,20.977135,85.953875,45,77.795923,1.6,7.196452,40,69.76082,1.349572
1210692.532,1.552519,45.624931,-8.507996,41.052295,68.188519,75.138264,9.152857,20.965095,85.950732,45,78.352957,1.6,0.046097,40,69.116587,2.505047
1210696.469,1.592759,44.543592,-6.774484,40.551237,68.330703,74.792293,9.154351,21.028799,85.952453,45,78.945462,1.6,4.363816,40,69.293086,2.982168
1210699.07,1.618213,44.513588,-8.139163,40.253061,67.904839,74.98325,9.25665,20.921202,85.956656,45,79.387054,1.6,9.596397,40,70.310937,3.039311
1210700.551,1.601285,45.105878,-8.372757,38.464006,67.881996,74.681601,9.182067,20.940092,85.955763,45,79.05387,1.6,10.669204,40,70.310699,2.08722
1210716.589,1.594607,44.943455,-6.749895,40.981594,67.185937,75.191103,9.029215,20.921198,85.951179,45,78.384388,1.6,8.821724,40,68.971647,2.395982
1210724.799,1.578771,45.538613,-6.129027,40.575829,67.736935,74.780549,9.157743,20.814707,85.957632,45,78.421091,1.6,1.969897,40,68.817335,2.92656
1210725.203,1.597421,45.524178,-7.127948,39.509158,67.466485,75.106686,9.182758,20.903419,85.961537,45,78.358391,1.6,2.991921,40,69.8307,5.050408
1210727.047,1.61229,45.775302,-8.000851,40.148546,68.05377,75.410626,9.174171,20.818965,85.959984,45,77.66029,1.6,13.062318,40,69.516539,2.878018
1210735.065,1.610862,45.344509,-8.320506,40.711084,67.847144,75.16153,9.046335,20.861375,85.952983,45,78.863739,1.6,27.859653,40,69.32907,2.279236
1210737.144,1.581166,45.825657,-6.89128,41.261326,67.266728,75.120862,9.136692,20.922862,85.952899,45,77.988692,1.6,26.460259,40,69.090142,1.179369
1210739.985,1.568985,44.415469,-8.120722,40.163916,67.4556,75.201984,9.052683,20.937307,85.953243,45,78.85815,1.6,10.638826,40,69.655043,2.840537
1210745.253,1.560794,45.767445,-6.411798,40.354502,68.306464,75.013319,9.15536,21.02916,85.954136,45,78.455985,1.6,0.083823,40,69.398536,1.36647
