Time (sec)	Water Level (ft)	Water Flowrate (GPM)	House Steam Pressure (psig)	Steam Pressure (psig)	Inlet Water Temperature (C)	Outlet Water Temperature (C)	Water Feed Temperature (C)	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Flow Control Output (%)	Level Setpoint (ft)	Level Control Output (%)	Steam Setpoint (psig)	Steam Control Output (%)	Tube-Side Pressure Drop (psig)
0	1.569867	24.859269	-36.969561	24.637252	40.590522	53.28979	9.599782	22.391779	86.188649	25	56.717778	1.6	0.17491	25	41.831609	3.361898
10.450108	1.628924	25.006079	-36.443974	26.08817	41.122495	54.267142	9.461849	22.562141	86.193791	25	56.91752	1.6	15.832205	25	40.830161	2.686002
10.875074	1.627622	25.008007	-37.046401	23.822648	40.973414	54.294873	9.5157	22.538626	86.197045	25	56.914582	1.6	18.04487	25	41.999454	0.457697
12.884005	1.618045	25.047443	-35.82618	26.764445	41.428598	54.191599	9.479022	22.530703	86.200179	25	56.875651	1.6	25.865195	25	41.481898	0.089027
26.81608	1.566002	25.15161	-0.381389	24.34215	42.267693	55.11355	9.587468	22.48764	86.197092	25	56.765582	1.6	1.131908	25	42.147702	3.719508
35.029004	1.619347	24.655276	-6.316517	23.447623	42.762848	55.581369	9.581406	22.540746	86.194265	25	56.63283	1.6	4.62118	25	42.376711	1.602111
39.079006	1.614391	24.703217	-6.47327	25.107571	43.145564	55.39071	9.538294	22.583437	86.191996	25	57.194146	1.6	16.308089	25	41.199004	0.067521
50.620017	1.59091	25.11135	-9.107348	24.720249	43.692281	56.524838	9.527563	22.655926	86.199184	25	56.765991	1.6	48.341822	25	42.156102	-1.132501
67.057003	1.564322	24.957594	-7.020372	25.335045	44.528888	56.938186	9.582167	22.660677	86.194358	25	56.838019	1.6	0.495179	25	41.99455	-0.813294
98.17858	1.618381	24.983095	-8.560247	28.156957	46.536184	58.880179	9.532996	22.599596	86.195502	25	56.644505	1.6	2.073375	25	41.371007	1.137587
106.431998	1.628756	24.987333	-6.845176	24.572699	46.865614	59.31525	9.599069	22.733944	86.199993	25	56.551431	1.6	33.965565	25	41.670662	2.002733
118.443007	1.583224	24.883136	-8.209856	25.092201	47.586273	59.919128	9.46403	22.602072	86.194181	25	56.818931	1.6	1.09678	25	41.929795	0.943728
126.742191	1.584484	24.995279	-7.678123	25.673183	48.274539	60.362534	9.455912	22.639	86.198198	25	56.846532	1.6	1.540198	25	41.719938	1.121304
136.904075	1.613004	25.106876	-8.277475	24.13312	48.520891	60.319086	9.518724	22.643808	86.201685	25	56.970527	1.6	52.072422	25	42.681091	1.890596
140.934077	1.553611	25.205672	-8.667823	25.482596	48.95496	60.58838	9.378731	22.641376	86.19923	25	56.662664	1.6	55.548056	25	42.162138	0.973528
142.183468	1.574571	25.236676	-7.475265	23.235518	48.860278	60.886456	9.49623	22.699439	86.196896	25	56.539007	1.6	48.834986	25	42.813651	0.786428
161.230004	1.598177	25.211676	-8.046955	25.860695	49.697705	61.405604	9.418964	22.496548	86.188519	25	56.897014	1.6	5.020774	25	42.27112	0.735122
169.403005	1.612458	25.030006	-6.436387	22.940416	49.941729	61.685104	9.456947	22.54257	86.197947	25	56.586293	1.6	23.217095	25	44.252912	2.563419
189.391855	1.609938	25.172622	-6.273486	27.099509	50.706913	62.629358	9.389291	22.587749	86.202819	25	56.52951	1.6	6.168974	25	42.553409	0.838964
195.920104	1.596749	24.632409	-6.642319	24.830913	51.014843	62.612945	9.39088	22.67112	86.195632	25	57.119313	1.6	19.064367	25	43.786026	1.173532
216.350003	1.56113	25.086305	-8.040808	25.919101	51.955493	63.339994	9.431392	22.536024	86.193456	25	56.695204	1.6	0	25	42.943995	0.690267
224.575997	1.594313	24.732632	-8.425008	25.26127	51.878478	63.273456	9.495325	22.600537	86.199295	25	57.026782	1.6	25.339675	25	43.478945	2.007956
232.566	1.581922	25.122298	-8.093059	24.034752	52.205566	63.651047	9.358317	22.507544	86.199779	25	56.633233	1.6	8.898158	25	44.91503	1.906572
235.520587	1.586164	25.05789	-8.329727	25.279714	52.546009	63.960812	9.406572	22.542895	86.20877	25	56.606157	1.6	0.176134	25	43.967534	1.042347
235.91001	1.583896	24.984375	-6.316517	25.298157	52.377641	64.040781	9.34861	22.542895	86.20718	25	56.663346	1.6	1.360572	25	44.284171	1.80273
240.795563	1.601411	24.903134	-8.375831	25.418043	52.250083	64.141997	9.284492	22.613694	86.195027	25	56.839234	1.6	3.111067	25	44.320912	1.127448
244.624761	1.620523	24.982962	-8.59713	23.352329	52.589187	63.929344	9.496541	22.591133	86.196729	25	56.862641	1.6	24.763967	25	45.561171	1.953884
259.091069	1.546723	25.283794	-7.865613	26.189611	52.98525	64.17185	9.255841	22.590764	86.192005	25	56.617706	1.6	1.514806	25	44.699596	0.453396
263.14866	1.578435	24.883033	-7.628945	23.330811	53.159654	64.745367	9.336483	22.520489	86.197398	25	56.70907	1.6	0.687518	25	45.614678	0.519757
277.246009	1.646943	25.057346	-6.338032	24.053196	53.331434	64.870582	9.339193	22.593935	86.198812	25	56.835912	1.6	51.534808	25	45.294014	2.032227
285.456074	1.538364	25.043911	-8.618645	24.034752	53.755615	65.295399	9.307929	22.586852	86.206269	25	56.695756	1.6	32.634322	25	45.130833	1.186436
297.613004	1.580704	25.288532	-8.369684	23.813426	53.689742	65.137131	9.391003	22.605132	86.199277	25	56.681862	1.6	1.358996	25	44.985223	0.995034
305.977083	1.633166	24.663752	-8.747737	25.525632	53.719727	65.637282	9.227204	22.504742	86.194535	25	57.010075	1.6	16.103823	25	44.308388	0.469372
308.961043	1.619179	24.703644	-7.859465	25.888361	54.262387	65.40035	9.428805	22.560962	86.198198	25	57.303955	1.6	35.826278	25	44.337403	1.731453
311.270074	1.619809	25.034567	-6.912796	26.014394	54.386079	65.558424	9.342926	22.53951	86.198923	25	57.106513	1.6	45.465259	25	44.726273	1.341277
315.981999	1.530845	25.151404	-7.662755	25.45493	54.442257	65.647768	9.395676	22.599057	86.202057	25	56.868843	1.6	23.430925	25	44.7051	1.652189
