Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Water Feed Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
882.689824,1.573773,24.555068,-7.18942,23.478362,57.374665,68.024757,8.627084,22.481807,86.217585,25,57.322847,1.6,12.218847,25,46.716526,1.309018
894.38107,1.630478,24.859269,-5.932316,23.788834,57.356771,68.416389,8.802129,22.429719,86.2211,25,56.7131,1.6,16.44229,25,46.198652,0.903788
907.646998,1.554703,25.184792,-6.01223,26.128131,57.314008,68.437084,8.711481,22.526479,86.220189,25,56.498729,1.6,0.2379,25,45.57285,1.713634
922.940073,1.585954,25.157966,-8.507996,26.229573,57.181743,68.356125,8.750692,22.373258,86.212062,25,56.762732,1.6,26.035454,25,45.118738,0.928674
931.24008,1.577007,25.026298,-8.099206,23.960977,57.091653,68.494307,8.631192,22.434882,86.218812,25,56.598596,1.6,0.862063,25,46.169318,0.34771
943.636192,1.599269,25.210896,-8.157605,25.851473,57.121691,68.310098,8.675449,22.421566,86.222578,25,56.728603,1.6,13.778216,25,45.260288,1.415626
967.969001,1.576293,24.674464,-7.149463,26.183463,57.408355,68.245791,8.573594,22.449075,86.221648,25,57.356481,1.6,0.363281,25,45.26033,0.85156
998.556783,1.582258,24.949765,-6.202793,24.317558,57.197817,68.136713,8.508239,22.470447,86.216637,25,56.694472,1.6,1.440765,25,45.346813,1.483215
1006.837174,1.620481,25.309854,-6.027598,24.14849,57.349831,67.985359,8.691602,22.37138,86.210109,25,56.974607,1.6,8.386229,25,46.12468,1.92777
1009.688854,1.605108,25.337812,-7.143316,24.11775,57.131125,68.297202,8.617757,22.383958,86.207487,25,56.644283,1.6,6.577903,25,46.034517,2.027926
1013.124997,1.588264,24.986935,-7.3431,24.67414,57.176242,68.243467,8.574245,22.478283,86.220393,25,56.626342,1.6,2.685403,25,46.297725,1.116695
1025.164076,1.602671,25.165545,-7.383057,23.75502,57.059816,68.394373,8.647259,22.442773,86.210109,25,56.934283,1.6,30.195869,25,46.331217,1.450649
1031.228576,1.595951,25.082111,-9.319427,23.964051,57.280352,68.252607,8.5721,22.483901,86.221676,25,56.784479,1.6,1.022054,25,46.193683,1.694279
1031.605004,1.575243,25.08554,-8.78462,25.359637,57.222712,68.196897,8.566498,22.385506,86.224577,25,56.770913,1.6,0.072503,25,45.508937,1.058323
1035.40211,1.601747,25.105464,-6.467123,24.889318,57.055776,68.366882,8.612433,22.475243,86.222625,25,56.592719,1.6,2.073828,25,45.796372,1.076756
1035.939095,1.597253,25.101814,-6.559331,26.140427,57.253276,68.377803,8.635586,22.446391,86.219231,25,56.577203,1.6,1.877763,25,45.618454,1.295193
1049.767135,1.552183,25.161439,-7.020372,25.992876,57.208796,68.159732,8.510575,22.417169,86.219984,25,56.842229,1.6,14.831998,25,45.34308,1.01101
1060.832996,1.592507,24.482788,-7.890201,25.252048,57.090023,68.167347,8.629238,22.428705,86.220217,25,57.404297,1.6,1.601529,25,45.680996,1.237128
1072.052952,1.608678,24.594283,-8.67397,23.788834,57.391264,68.348521,8.611781,22.509932,86.224364,25,56.8794,1.6,25.619648,25,46.040153,1.305946
1072.448996,1.601159,24.584703,-7.413793,24.391334,57.224786,68.298461,8.571631,22.462436,86.223787,25,56.934533,1.6,24.810954,25,46.21214,1.540359
1080.214001,1.564574,25.236426,-7.481412,23.874906,57.346764,68.123376,8.543717,22.385345,86.221277,25,56.761725,1.6,5.774459,25,46.409469,0.94342
1086.698637,1.582594,24.703688,-8.172973,23.589026,57.189631,68.497367,8.452123,22.480261,86.227172,25,57.078185,1.6,0.879372,25,46.845716,1.467854
1088.353007,1.60305,24.649787,-6.611583,25.863769,57.28215,68.20487,8.552307,22.404431,86.228678,25,57.305985,1.6,2.914623,25,45.398152,0.791651
1092.533009,1.604016,25.087261,-6.3534,24.750989,57.161583,68.195822,8.608325,22.395403,86.224624,25,57.059841,1.6,1.996587,25,45.977283,0.878903
1096.560996,1.607754,25.123269,-8.48648,24.286819,57.092624,68.115853,8.538116,22.453329,86.213308,25,56.896763,1.6,22.619985,25,45.887755,1.409174
1099.511007,1.607166,25.2365,-6.740674,25.408821,57.487346,68.153376,8.511878,22.431355,86.206687,25,56.636132,1.6,41.466169,25,45.323242,0.738808
1104.741006,1.594187,24.783928,-6.433314,25.359637,57.286166,68.545009,8.53802,22.469454,86.211048,25,56.798674,1.6,53.031101,25,45.361096,1.063238
1108.754009,1.541514,24.78281,-7.005004,24.11775,57.436735,68.122302,8.5116,22.455469,86.216237,25,57.314963,1.6,9.787349,25,46.204542,0.718531
1110.506984,1.546933,25.202405,-8.108427,23.813426,57.258586,68.175137,8.524949,22.458208,86.219036,25,57.011276,1.6,0.800493,25,46.438685,0.897029
1111.718579,1.489724,25.312679,-7.383057,26.171167,57.172095,68.351386,8.543526,22.439933,86.219631,25,56.824058,1.6,0,25,45.136756,1.710869
1116.964882,1.56386,25.134423,-7.484486,26.085096,56.914888,68.358193,8.474062,22.365061,86.213522,25,56.409413,1.6,1.298214,25,45.284934,1.250338
1117.371001,1.557812,24.976502,-6.762189,23.967125,57.046151,68.349329,8.53307,22.371129,86.212508,25,56.529587,1.6,0.671436,25,46.088581,0.830669
1120.912001,1.548655,24.579553,-7.979336,24.575773,57.166257,68.194123,8.517106,22.485871,86.221081,25,57.16808,1.6,0,25,45.927947,1.10625
1122.990002,1.597715,24.758957,-7.005004,24.554255,57.14153,68.030765,8.475278,22.469375,86.22084,25,57.275115,1.6,1.090297,25,45.799835,1.350494
1127.162995,1.621405,25.102418,-7.690417,26.214203,57.081033,68.194123,8.565282,22.451101,86.213531,25,57.077567,1.6,5.139254,25,45.141691,0.086262
1127.549035,1.601453,25.082494,-6.344179,25.528706,57.192867,68.181493,8.583486,22.376749,86.212006,25,57.081923,1.6,5.100842,25,45.49556,1.422692
1132.707002,1.661939,25.13301,-7.192494,24.606512,57.189547,68.413451,8.450629,22.432606,86.210063,25,56.801625,1.6,57.776823,25,45.955323,1.128984
1133.4241,1.622707,25.138984,-7.567473,24.249931,57.255074,68.227531,8.491989,22.4892,86.211922,25,56.763026,1.6,61.075899,25,46.142109,2.015329
1136.942007,1.576251,25.070442,-6.974268,24.744841,57.154307,68.370014,8.535406,22.463379,86.213615,25,56.702588,1.6,50.086353,25,45.878221,1.515167
1141.436173,1.537566,24.914611,-6.058334,25.565593,57.35,68.373596,8.609715,22.449692,86.221379,25,56.748478,1.6,0,25,45.646952,1.311169
