Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Water Feed Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
433255.3948,1.522319,34.610169,-7.15561,40.637308,65.435638,73.895331,8.728048,23.624342,86.438318,35,69.504689,1.6,29.076972,40,68.235872,1.030058
433260.7259,1.520722,35.340351,-7.3431,41.433469,64.647349,74.290091,8.726869,23.568679,86.433753,35,68.031157,1.6,0.010066,40,68.43863,2.155424
433271.0713,1.601789,35.016359,-8.566394,41.310509,65.282163,74.343732,8.679758,23.5843,86.43737,35,68.198962,1.6,2.422954,40,68.919868,-0.087935
433281.1486,1.610106,34.186703,-7.290849,41.070739,65.02646,74.357277,8.697194,23.573315,86.43246,35,69.39923,1.6,30.832737,40,68.127564,2.52133
433285.157,1.577805,35.141362,-6.273486,41.027703,65.655267,74.33711,8.788252,23.514189,86.436784,35,69.5404,1.6,25.974175,40,67.944942,1.855265
433287.254,1.617205,35.74713,-7.619724,39.644413,65.522385,74.153155,8.759499,23.619505,86.437425,35,68.942008,1.6,25.903813,40,68.691815,2.348362
433300.7638,1.597001,35.873472,-5.932316,39.51838,64.69058,74.164076,8.8106,23.550875,86.425626,35,67.909251,1.6,5.2811,40,68.662983,1.56125
433312.191,1.61271,35.166671,-5.843182,39.220204,65.609952,74.70072,8.745135,23.606036,86.426332,35,68.408711,1.6,46.367892,40,68.729541,1.728995
433312.5701,1.599731,34.635272,-7.764184,39.097245,64.9206,74.637295,8.684755,23.623772,86.424724,35,68.81977,1.6,46.879674,40,68.00886,1.623003
433321.78,1.572177,35.366191,-5.772489,39.991773,65.002956,74.130364,8.727584,23.688403,86.438485,35,68.794653,1.6,0.58328,40,67.747606,1.289971
433327.996,1.583266,34.487858,-8.483407,41.362767,64.88429,74.187944,8.707792,23.664386,86.425403,35,69.262958,1.6,0.514701,40,68.758464,1.334518
433328.3553,1.574571,34.485004,-6.504006,38.73759,65.460636,74.122787,8.69185,23.664386,86.427365,35,69.323533,1.6,1.729789,40,68.347743,1.641743
433330.2888,1.573563,34.363724,-6.626951,40.299171,65.305929,74.106378,8.794685,23.57483,86.42915,35,69.794256,1.6,1.602272,40,69.091808,2.033763
433334.03,1.606032,35.541283,-6.974268,41.531836,65.471798,74.115151,8.727153,23.688135,86.428806,35,68.893654,1.6,17.146234,40,68.398976,2.192906
